k,nc,umap_n_components,NMI,embedding
11,6,4,0.6960488203528932,word2vec
20,6,16,0.6790137087500648,word2vec
23,6,4,0.6936059252759695,word2vec
17,6,4,0.6955568125622774,word2vec
7,6,16,0.6790137087500648,word2vec
10,6,4,0.695630124561927,word2vec
20,6,4,0.7678293665814079,word2vec
20,6,4,0.7678293665814079,word2vec
26,6,4,0.6916939192695639,word2vec
13,6,4,0.6955568125622774,word2vec
15,6,16,0.6790137087500648,word2vec
29,6,2,0.6680029676785455,word2vec
25,6,4,0.6728761368229336,word2vec
21,6,2,0.6846729300514637,word2vec
18,6,4,0.6955568125622774,word2vec
23,6,16,0.6790137087500648,word2vec
19,6,4,0.767829366581408,word2vec
15,6,4,0.6955568125622774,word2vec
12,6,4,0.6955568125622774,word2vec
27,6,4,0.6767018101458407,word2vec
19,6,2,0.6846729300514636,word2vec
22,6,4,0.6936059252759694,word2vec
17,6,4,0.6955568125622774,word2vec
32,6,4,0.6767018101458407,word2vec
9,6,4,0.695630124561927,word2vec
24,6,8,0.6852926447998263,word2vec
21,6,4,0.7701165600035007,word2vec
16,6,4,0.6955568125622774,word2vec
22,6,4,0.6936059252759694,word2vec
27,6,4,0.6767018101458407,word2vec
44,6,4,0.7563610007208532,word2vec
19,6,2,0.6846729300514636,word2vec
14,6,4,0.6955568125622774,word2vec
21,6,8,0.7676940921905364,word2vec
25,6,4,0.6728761368229336,word2vec
18,6,4,0.6955568125622774,word2vec
20,6,4,0.7678293665814079,word2vec
21,6,4,0.7701165600035007,word2vec
23,6,4,0.6936059252759695,word2vec
16,6,4,0.6955568125622774,word2vec
21,6,16,0.6790137087500648,word2vec
19,6,4,0.767829366581408,word2vec
18,6,4,0.6955568125622774,word2vec
24,6,4,0.6728761368229336,word2vec
13,6,4,0.6955568125622774,word2vec
16,6,8,0.690761209548581,word2vec
19,6,4,0.767829366581408,word2vec
19,6,4,0.767829366581408,word2vec
19,6,4,0.767829366581408,word2vec
19,6,4,0.767829366581408,word2vec
17,6,4,0.6955568125622774,word2vec
22,6,4,0.6936059252759694,word2vec
15,6,4,0.6955568125622774,word2vec
24,6,4,0.6728761368229336,word2vec
19,6,16,0.6790137087500648,word2vec
21,6,2,0.6846729300514637,word2vec
19,6,4,0.767829366581408,word2vec
18,6,4,0.6955568125622774,word2vec
17,6,4,0.6955568125622774,word2vec
14,6,4,0.6955568125622774,word2vec
20,6,4,0.7678293665814079,word2vec
23,6,4,0.6936059252759695,word2vec
12,6,4,0.6955568125622774,word2vec
21,6,4,0.7701165600035007,word2vec
26,6,4,0.6916939192695639,word2vec
29,6,4,0.6767018101458407,word2vec
21,6,4,0.7701165600035007,word2vec
21,6,4,0.7701165600035007,word2vec
21,6,4,0.7701165600035007,word2vec
22,6,4,0.6936059252759694,word2vec
21,6,8,0.7676940921905364,word2vec
24,6,4,0.6728761368229336,word2vec
22,6,4,0.6936059252759694,word2vec
